provinsi,jenis,daerah,tahun,periode,gk,tahun_bin,Cluster,PCA1,PCA2,PCA3
ACEH,MAKANAN,PERKOTAAN,-1.2089552238805632,MARET,-0.06794590329463143,Lama,0,-2.905180681173926,1.5512672142918615,
ACEH,MAKANAN,PERKOTAAN,-1.2089552238805632,SEPTEMBER,-0.013644133036991551,Lama,0,-2.8439129192712636,1.652590549075921,
ACEH,MAKANAN,PERKOTAAN,-0.8208955223880258,MARET,0.012859459017353919,Lama,0,-2.2360283184286454,1.2339260597030355,
ACEH,MAKANAN,PERKOTAAN,-0.8208955223880258,SEPTEMBER,0.09997029316924333,Lama,0,-2.137742648907412,1.396468830780536,
ACEH,MAKANAN,PERDESAAN,-1.2089552238805632,MARET,-0.04358707336764847,Lama,0,-2.8776970285211125,1.5967191004445496,
ACEH,MAKANAN,PERDESAAN,-1.2089552238805632,SEPTEMBER,0.016041178209297412,Lama,0,-2.810419488526467,1.7079812797151965,
ACEH,MAKANAN,PERDESAAN,-0.8208955223880258,MARET,0.0737500931077023,Lama,0,-2.1673264537592374,1.3475437571349533,
ACEH,MAKANAN,PERDESAAN,-0.8208955223880258,SEPTEMBER,0.1327278312466191,Lama,0,-2.1007828769898524,1.4575921234755573,
ACEH,MAKANAN,PERDESAANPERKOTAAN,-1.2089552238805632,MARET,-0.05049797355581676,Lama,0,-2.885494479419174,1.583823840306571,
ACEH,MAKANAN,PERDESAANPERKOTAAN,-1.2089552238805632,SEPTEMBER,0.007610266423358415,Lama,0,-2.819931942604345,1.6922497834238508,
ACEH,MAKANAN,PERDESAANPERKOTAAN,-0.8208955223880258,MARET,0.055097747399467795,Lama,0,-2.1883715775251145,1.3127397745071943,
ACEH,MAKANAN,PERDESAANPERKOTAAN,-0.8208955223880258,SEPTEMBER,0.12431624164200793,Lama,0,-2.1102735301798514,1.441896681033619,
ACEH,MAKANAN,PERKOTAAN,-0.4328358208954885,MARET,0.16685724419825407,Menengah,0,-1.4842941923976494,1.0531568866687167,
ACEH,MAKANAN,PERKOTAAN,-0.4328358208954885,SEPTEMBER,0.28058760349245454,Menengah,0,-1.3559741663417577,1.2653698442795487,
ACEH,MAKANAN,PERKOTAAN,-0.04477611940295118,MARET,0.3061315272075298,Menengah,2,1.4480059035951676,0.39545142041925385,
ACEH,MAKANAN,PERKOTAAN,-0.04477611940295118,SEPTEMBER,0.3611417774471811,Menengah,2,1.5100730313867277,0.49809672968157753,
ACEH,MAKANAN,PERDESAAN,-0.4328358208954885,MARET,0.1740322141978995,Menengah,0,-1.4761987960319078,1.0665448827485937,
ACEH,MAKANAN,PERDESAAN,-0.4328358208954885,SEPTEMBER,0.26937429759534237,Menengah,0,-1.3686259482742136,1.2444465936735651,
ACEH,MAKANAN,PERDESAAN,-0.04477611940295118,MARET,0.3199018017669929,Menengah,2,1.4635426696902805,0.4211457970967914,
ACEH,MAKANAN,PERDESAAN,-0.04477611940295118,SEPTEMBER,0.3749571370964088,Menengah,2,1.5256606662202246,0.5238752320077321,
ACEH,MAKANAN,PERDESAANPERKOTAAN,-0.4328358208954885,MARET,0.17204202952115744,Menengah,0,-1.4784442874834467,1.0628313362596513,
ACEH,MAKANAN,PERDESAANPERKOTAAN,-0.4328358208954885,SEPTEMBER,0.2724787280619754,Menengah,0,-1.3651232722883184,1.2502392454783235,
ACEH,MAKANAN,PERDESAANPERKOTAAN,-0.04477611940295118,MARET,0.31588278805085396,Menengah,2,1.4590080850114446,0.41364659642009194,
ACEH,MAKANAN,PERDESAANPERKOTAAN,-0.04477611940295118,SEPTEMBER,0.3709123604718331,Menengah,2,1.5210970136908837,0.516327959531823,
ACEH,MAKANAN,PERKOTAAN,0.3432835820895863,MARET,0.3851141637476124,Baru,2,2.115101715917195,0.07470918603634763,
ACEH,MAKANAN,PERKOTAAN,0.3432835820895863,SEPTEMBER,0.4725792378905076,Baru,2,2.2137870683828766,0.2379129443529802,
ACEH,MAKANAN,PERKOTAAN,0.7313432835821234,MARET,0.6040087152807813,Baru,2,2.9400577573711812,0.0150328752110414,
ACEH,MAKANAN,PERKOTAAN,0.7313432835821234,SEPTEMBER,0.6135281099481744,Baru,2,2.9507983281329087,0.03279540501899301,
ACEH,MAKANAN,PERDESAAN,0.3432835820895863,MARET,0.44041424670717766,Baru,2,2.17749585702694,0.17789530303977963,
ACEH,MAKANAN,PERDESAAN,0.3432835820895863,SEPTEMBER,0.5353570050238505,Baru,2,2.284618153101801,0.3550519010770019,
ACEH,MAKANAN,PERDESAAN,0.7313432835821234,MARET,0.5949208493297042,Baru,2,2.9298040731054167,-0.0019244519601491691,
ACEH,MAKANAN,PERDESAAN,0.7313432835821234,SEPTEMBER,0.6026561625878496,Baru,2,2.9385316952196496,0.012509105752536803,
ACEH,MAKANAN,PERDESAANPERKOTAAN,0.3432835820895863,MARET,0.4240998849395818,Baru,2,2.159088640694424,0.14745383619029298,
ACEH,MAKANAN,PERDESAANPERKOTAAN,0.3432835820895863,SEPTEMBER,0.5161249938757883,Baru,2,2.2629190026995536,0.3191663029670267,
ACEH,MAKANAN,PERDESAANPERKOTAAN,0.7313432835821234,MARET,0.5976066325342394,Baru,2,2.9328343965206,0.0030870331074529522,
ACEH,MAKANAN,PERDESAANPERKOTAAN,0.7313432835821234,SEPTEMBER,0.6058765261424482,Baru,2,2.942165176532819,0.01851808065373814,
ACEH,MAKANAN,PERKOTAAN,1.119402985074661,MARET,0.732958512734014,Baru,2,3.6635306657483446,-0.21247410460482255,
